"","zip","type","city","county","area"
"498","74331","Standard","Afton","Ottawa","918"
"499","74332","Standard","Big Cabin","Craig","918"
"500","74333","Standard","Bluejacket","Craig","918"
"501","74335","P.O. Box","Cardin","Ottawa","918"
"502","74337","Standard","Chouteau","Mayes","918"
"503","74338","Standard","Colcord","Delaware","918"
"504","74339","Standard","Commerce","Ottawa","918"
"505","74340","P.O. Box","Disney","Mayes","918"
"506","74342","Standard","Eucha","Delaware","918"
"507","74343","Standard","Fairland","Ottawa","918"
"508","74344","Standard","Grove","Delaware","918"
"509","74345","P.O. Box","Grove","Delaware","918"
"510","74346","Standard","Jay","Delaware","918"
"511","74347","Standard","Kansas","Delaware","918"
"512","74349","P.O. Box","Ketchum","Mayes","918"
"513","74350","P.O. Box","Langley","Mayes","918"
"514","74352","Standard","Locust Grove","Mayes","918"
"515","74354","Standard","Miami","Ottawa","918"
"516","74355","P.O. Box","Miami","Ottawa","918"
"517","74358","P.O. Box","North Miami","Ottawa","918"
"518","74359","Standard","Oaks","Delaware","918"
"519","74361","Standard","Pryor","Mayes","918"
"520","74362","P.O. Box","Pryor","Mayes","918"
"521","74363","Standard","Quapaw","Ottawa","918"
"522","74364","Standard","Rose","Mayes","918"
"523","74365","Standard","Salina","Mayes","918"
"524","74366","Standard","Spavinaw","Mayes","918"
"525","74367","Standard","Strang","Mayes","918"
"526","74368","Standard","Twin Oaks","Delaware","918"
"527","74369","Standard","Welch","Craig","918"
"528","74370","Standard","Wyandotte","Ottawa","918"
"529","74401","Standard","Muskogee","Muskogee","918"
"530","74402","P.O. Box","Muskogee","Muskogee","918"
"531","74403","Standard","Muskogee","Muskogee","918"
"532","74421","Standard","Beggs","Okmulgee","918"
"533","74422","Standard","Boynton","Muskogee","918"
"534","74423","Standard","Braggs","Muskogee","918"
"535","74425","Standard","Canadian","Pittsburg","918"
"536","74426","Standard","Checotah","Mcintosh","918"
"537","74427","Standard","Cookson","Cherokee","918"
"538","74428","Standard","Council Hill","Muskogee","918"
"539","74429","Standard","Coweta","Wagoner","918"
"540","74430","P.O. Box","Crowder","Pittsburg","918"
"541","74431","P.O. Box","Dewar","Okmulgee","918"
"542","74432","Standard","Eufaula","Mcintosh","918"
"543","74434","Standard","Fort Gibson","Muskogee","918"
"544","74435","Standard","Gore","Sequoyah","918"
"545","74436","Standard","Haskell","Muskogee","918"
"546","74437","Standard","Henryetta","Okmulgee","918"
"547","74438","P.O. Box","Hitchita","Mcintosh","918"
"548","74439","P.O. Box","Braggs","Muskogee","918"
"549","74440","P.O. Box","Hoyt","Haskell","918"
"550","74441","Standard","Hulbert","Cherokee","918"
"551","74442","Standard","Indianola","Pittsburg","918"
"552","74444","P.O. Box","Moodys","Cherokee","918"
"553","74445","Standard","Morris","Okmulgee","918"
