ZIP Code,Type,City,County,Area Codes
ZIP Code 73172,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73173,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73178,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73179,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73184,Unique,Oklahoma City,Oklahoma,405
ZIP Code 73189,P.O. Box,Oklahoma City,Cleveland,405
ZIP Code 73190,Unique,Oklahoma City,Oklahoma,405
ZIP Code 73194,Unique,Oklahoma City,Oklahoma,405
ZIP Code 73195,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73196,Unique,Oklahoma City,Oklahoma,405
ZIP Code 73401,Standard,Ardmore,Carter,580
ZIP Code 73402,P.O. Box,Ardmore,Carter,580
ZIP Code 73403,P.O. Box,Ardmore,Carter,580
ZIP Code 73425,P.O. Box,Countyline,Stephens,580
ZIP Code 73430,Standard,Burneyville,Love,580
ZIP Code 73432,Standard,Coleman,Johnston,580
ZIP Code 73433,Standard,Elmore City,Garvin,580
ZIP Code 73434,Standard,Foster,Stephens,580
ZIP Code 73435,P.O. Box,Fox,Carter,580
ZIP Code 73436,P.O. Box,Gene Autry,Carter,580
ZIP Code 73437,Standard,Graham,Carter,580
ZIP Code 73438,Standard,Healdton,Carter,580
ZIP Code 73439,Standard,Kingston,Marshall,580
ZIP Code 73440,Standard,Lebanon,Marshall,580
ZIP Code 73441,Standard,Leon,Love,580
ZIP Code 73442,Standard,Loco,Stephens,580
ZIP Code 73443,Standard,Lone Grove,Carter,580
ZIP Code 73444,Standard,Hennepin,Carter,580
ZIP Code 73446,Standard,Madill,Marshall,580
ZIP Code 73447,Standard,Mannsville,Johnston,580
ZIP Code 73448,Standard,Marietta,Love,580
ZIP Code 73449,Standard,Mead,Bryan,580
ZIP Code 73450,Standard,Milburn,Johnston,580
ZIP Code 73453,Standard,Overbrook,Love,580
ZIP Code 73455,P.O. Box,Ravia,Johnston,580
ZIP Code 73456,Standard,Ringling,Jefferson,580
ZIP Code 73458,Standard,Springer,Carter,580
ZIP Code 73459,Standard,Thackerville,Love,580
ZIP Code 73460,Standard,Tishomingo,Johnston,580
ZIP Code 73461,Standard,Wapanucka,Johnston,580
ZIP Code 73463,Standard,Wilson,Carter,580
ZIP Code 73481,Standard,Ratliff City,Carter,580
ZIP Code 73487,P.O. Box,Tatums,Carter,580
ZIP Code 73488,Standard,Tussy,Carter,580
ZIP Code 73491,P.O. Box,Velma,Stephens,580
ZIP Code 73501,Standard,Lawton,Comanche,580
ZIP Code 73502,P.O. Box,Lawton,Comanche,580
ZIP Code 73503,Standard,Fort Sill,Comanche,580
ZIP Code 73505,Standard,Lawton,Comanche,580
ZIP Code 73506,P.O. Box,Lawton,Comanche,580
ZIP Code 73507,Standard,Lawton,Comanche,580
ZIP Code 73520,P.O. Box,Addington,Jefferson,580
ZIP Code 73521,Standard,Altus,Jackson,580
ZIP Code 73522,P.O. Box,Altus,Jackson,580
ZIP Code 73523,Standard,Altus AFB,Jackson,580
ZIP Code 73526,Standard,Blair,Jackson,580
ZIP Code 73527,Standard,Cache,Comanche,580
ZIP Code 73528,Standard,Chattanooga,Comanche,580
ZIP Code 73529,Standard,Comanche,Stephens,580
ZIP Code 73530,Standard,Davidson,Tillman,580
ZIP Code 73531,Standard,Devol,Cotton,580
ZIP Code 73532,Standard,Duke,Jackson,580
ZIP Code 73533,Standard,Duncan,Stephens,580
ZIP Code 73534,P.O. Box,Duncan,Stephens,580
ZIP Code 73536,Unique,Duncan,Stephens,580
ZIP Code 73537,Standard,Eldorado,Jackson,580
ZIP Code 73538,Standard,Elgin,Comanche,580
ZIP Code 73539,Standard,Elmer,Jackson,580
ZIP Code 73540,Standard,Faxon,Comanche,580
ZIP Code 73541,Standard,Fletcher,Comanche,580
ZIP Code 73543,Standard,Geronimo,Comanche,580
ZIP Code 73544,Standard,Gould,Harmon,580
ZIP Code 73546,Standard,Grandfield,Tillman,580
ZIP Code 73547,Standard,Granite,Greer,580
ZIP Code 73548,Standard,Hastings,Jefferson,580
ZIP Code 73549,Standard,Headrick,Jackson,580
ZIP Code 73550,Standard,Hollis,Harmon,580
ZIP Code 73551,Standard,Hollister,Tillman,580
ZIP Code 73552,Standard,Indiahoma,Comanche,580
ZIP Code 73553,Standard,Loveland,Tillman,580
ZIP Code 73554,Standard,Mangum,Greer,580
ZIP Code 73555,P.O. Box,Manitou,Tillman,580
ZIP Code 73556,P.O. Box,Martha,Jackson,580
ZIP Code 73557,P.O. Box,Medicine Park,Comanche,580
ZIP Code 73558,P.O. Box,Meers,Comanche,580
ZIP Code 73559,Standard,Mountain Park,Kiowa,580
ZIP Code 73560,Standard,Olustee,Jackson,580
ZIP Code 73561,Standard,Oscar,Jefferson,580
ZIP Code 73562,Standard,Randlett,Cotton,580
ZIP Code 73564,Standard,Roosevelt,Kiowa,580
ZIP Code 73565,Standard,Ryan,Jefferson,580
ZIP Code 73566,Standard,Snyder,Kiowa,580
ZIP Code 73567,P.O. Box,Sterling,Comanche,580
ZIP Code 73568,Standard,Temple,Cotton,580
ZIP Code 73569,Standard,Terral,Jefferson,580
ZIP Code 73570,Standard,Tipton,Tillman,580
ZIP Code 73571,Standard,Vinson,Harmon,580
ZIP Code 73572,Standard,Walters,Cotton,580
ZIP Code 73573,Standard,Waurika,Jefferson,580
ZIP Code 73601,Standard,Clinton,Custer,580
ZIP Code 73620,Standard,Arapaho,Custer,580
ZIP Code 73622,Standard,Bessie,Washita,580
ZIP Code 73624,P.O. Box,Burns Flat,Washita,580
ZIP Code 73625,Standard,Butler,Custer,580
ZIP Code 73626,Standard,Canute,Washita,580
ZIP Code 73627,Standard,Carter,Beckham,580
ZIP Code 73628,Standard,Cheyenne,Roger Mills,580
ZIP Code 73632,Standard,Cordell,Washita,580
ZIP Code 73638,Standard,Crawford,Roger Mills,580
ZIP Code 73639,Standard,Custer City,Custer,580
ZIP Code 73641,Standard,Dill City,Washita,580
ZIP Code 73642,Standard,Durham,Roger Mills,580
ZIP Code 73644,Standard,Elk City,Beckham,580
ZIP Code 73645,Standard,Erick,Beckham,580
ZIP Code 73646,Standard,Fay,Dewey,580
ZIP Code 73647,Standard,Foss,Washita,580
ZIP Code 73648,P.O. Box,Elk City,Beckham,580
ZIP Code 73650,Standard,Hammon,Roger Mills,580
ZIP Code 73651,Standard,Hobart,Kiowa,580
ZIP Code 73654,Standard,Leedey,Dewey,580
ZIP Code 73655,Standard,Lone Wolf,Kiowa,580
ZIP Code 73658,Standard,Oakwood,Dewey,580
ZIP Code 73659,Standard,Putnam,Dewey,580
ZIP Code 73660,Standard,Reydon,Roger Mills,580
ZIP Code 73661,Standard,Rocky,Washita,580
ZIP Code 73662,Standard,Sayre,Beckham,580
ZIP Code 73663,Standard,Seiling,Dewey,580
ZIP Code 73664,Standard,Sentinel,Washita,580
ZIP Code 73666,Standard,Sweetwater,Roger Mills,580
ZIP Code 73667,Standard,Taloga,Dewey,580
ZIP Code 73668,Standard,Texola,Beckham,580
